20230907 070100;4507.5;4508;4506.25;4507.5;75
20230907 070200;4507;4507;4506;4506.75;31
20230907 070300;4507;4507.5;4506.75;4506.75;32
20230907 070400;4506;4507.75;4506;4507.75;59
20230907 070500;4507.75;4509.5;4507.75;4509.25;51
20230907 070600;4509;4510;4509;4509.25;42
20230907 070700;4509.5;4510.5;4509.5;4510.25;44
20230907 070800;4510;4510;4509;4509;24
20230907 070900;4508.25;4509.25;4508.25;4509;42
20230907 071000;4509.25;4509.5;4509;4509.5;19
20230907 071100;4509;4509;4506.75;4506.75;44
20230907 071200;4506.75;4507;4506.25;4506.75;24
20230907 071300;4506.5;4508.75;4506.5;4508.25;33
20230907 071400;4507.75;4508.75;4507.75;4508.75;16
20230907 071500;4509.5;4509.5;4508.75;4509;9
20230907 071600;4508.5;4508.5;4507.25;4508;24
20230907 071700;4507.5;4509;4507.5;4509;51
20230907 071800;4508.75;4510;4508.5;4509.5;52
20230907 071900;4509.25;4509.25;4507;4507.25;54
20230907 072000;4507.5;4508;4507.5;4508;17
20230907 072100;4508;4508.25;4506.75;4506.75;18
20230907 072200;4506.5;4506.5;4505.75;4506.25;22
20230907 072300;4505.75;4506;4505.5;4506;36
20230907 072400;4505.25;4505.5;4505;4505.25;44
20230907 072500;4505.25;4505.75;4504.75;4505.75;47
20230907 072600;4505.75;4506;4504.75;4505;150
20230907 072700;4505;4505.5;4504.75;4504.75;72
20230907 072800;4505;4505;4503.5;4503.75;174
20230907 072900;4503.5;4504.5;4502.75;4504.5;144
20230907 073000;4504.5;4504.75;4503.75;4504.75;192
20230907 073100;4504.25;4505;4504;4504.25;74
20230907 073200;4504.25;4504.25;4504.25;4504.25;5
20230907 073300;4504.75;4504.75;4504.25;4504.25;22
20230907 073400;4504.25;4504.25;4504;4504;14
20230907 073500;4504;4504;4503.75;4503.75;12
20230907 073600;4504.5;4504.75;4504.5;4504.75;13
20230907 073700;4505;4505.5;4504.75;4504.75;15
20230907 073800;4504.5;4504.75;4504.5;4504.5;4
20230907 073900;4505.25;4505.25;4504.25;4504.25;3
20230907 074000;4504.25;4504.25;4503.5;4503.5;18
20230907 074100;4503.25;4504;4503.25;4503.5;33
20230907 074200;4503.75;4504;4503.75;4504;22
20230907 074300;4505;4506;4505;4506;23
20230907 074400;4506.25;4507.75;4506.25;4507.5;27
20230907 074500;4507.25;4508.25;4507.25;4507.75;109
20230907 074600;4508;4508.5;4508;4508;30
20230907 074700;4508;4508;4507.25;4507.5;20
20230907 074800;4506.75;4506.75;4506.5;4506.5;7
20230907 074900;4506.75;4507.5;4506.75;4507.5;17
20230907 075000;4508;4508.25;4507.5;4507.5;26
20230907 075100;4507.25;4508;4507.25;4507.75;30
20230907 075200;4507.5;4508.5;4507.5;4508.5;19
20230907 075300;4509;4509.25;4508.75;4509;25
20230907 075400;4509;4510.5;4509;4510.5;19
20230907 075500;4510.25;4511;4510.25;4511;31
20230907 075600;4511;4511;4510.75;4510.75;8
20230907 075700;4511;4511;4510.75;4511;11
20230907 075800;4510.5;4511.5;4510.25;4511.5;56
20230907 075900;4511.5;4512.25;4511;4512;30
