20240912 070100;5627.25;5628.5;5627.25;5628.25;82
20240912 070200;5628.25;5628.5;5628;5628.5;35
20240912 070300;5628.75;5629.75;5628.75;5629.75;24
20240912 070400;5629.75;5631.5;5629.75;5630.5;76
20240912 070500;5630.25;5630.25;5630;5630;18
20240912 070600;5630.5;5631.25;5630;5630;49
20240912 070700;5630;5630;5628.25;5628.5;94
20240912 070800;5628.75;5630.5;5628.75;5629.25;28
20240912 070900;5629.25;5629.5;5628.5;5629;52
20240912 071000;5629;5629.75;5629;5629.5;31
20240912 071100;5629;5630;5629;5629.75;22
20240912 071200;5629.5;5630.25;5629;5629.75;39
20240912 071300;5629.5;5630.25;5629.25;5630.25;32
20240912 071400;5629.75;5631;5629.5;5631;49
20240912 071500;5631.25;5631.75;5630;5630;42
20240912 071600;5630;5630.75;5629.75;5630;83
20240912 071700;5629.5;5629.75;5628.75;5628.75;34
20240912 071800;5629.5;5629.75;5629;5629.75;27
20240912 071900;5629.5;5629.75;5628.75;5628.75;32
20240912 072000;5629;5629;5626.75;5626.75;61
20240912 072100;5626.75;5628.75;5626.75;5628.5;74
20240912 072200;5628.25;5629;5628;5628.75;43
20240912 072300;5628.75;5631.25;5628.5;5631;65
20240912 072400;5630.5;5631.75;5630;5630;93
20240912 072500;5630;5630;5628.25;5629.25;72
20240912 072600;5629.25;5631.25;5629.25;5631;110
20240912 072700;5630.75;5633;5630.75;5632.5;72
20240912 072800;5632.75;5636;5632.75;5634.25;222
20240912 072900;5634.75;5637.25;5634.75;5636.75;123
20240912 073000;5637;5637.75;5636.25;5636.5;77
20240912 073100;5636.25;5637.25;5636;5636;69
20240912 073200;5635.5;5636;5635.25;5635.25;76
20240912 073300;5635.5;5635.75;5632;5632;60
20240912 073400;5632.25;5633.25;5631;5633;86
20240912 073500;5633;5634.25;5633;5633.5;51
20240912 073600;5633.25;5634.25;5632.5;5633.25;66
20240912 073700;5634;5634.5;5632;5632.75;64
20240912 073800;5632;5632.5;5630.5;5632;78
20240912 073900;5632.5;5633.25;5631.25;5632;89
20240912 074000;5632;5633.25;5631.75;5632;74
20240912 074100;5632.25;5633;5631.5;5633;92
20240912 074200;5633;5633;5631.25;5631.25;93
20240912 074300;5631.5;5632.25;5630.75;5632;61
20240912 074400;5631.75;5632.5;5631.5;5632.5;37
20240912 074500;5631.75;5632.5;5631.75;5632.5;33
20240912 074600;5631.5;5631.5;5628.75;5628.75;72
20240912 074700;5629.25;5630.75;5628.5;5630.75;88
20240912 074800;5630.75;5632;5630.75;5632;53
20240912 074900;5632;5632.25;5631;5631.25;53
20240912 075000;5631;5631;5630;5630;50
20240912 075100;5630;5630;5629;5629;27
20240912 075200;5629.25;5630;5629;5629.75;54
20240912 075300;5629.75;5631;5629.75;5630.75;56
20240912 075400;5631;5631.5;5629.75;5629.75;39
20240912 075500;5629.75;5629.75;5628.25;5628.75;52
20240912 075600;5628;5628.75;5627.75;5628.5;52
20240912 075700;5628.75;5629.25;5627.5;5627.5;95
20240912 075800;5627.75;5627.75;5625.5;5627.25;109
20240912 075900;5627;5627.5;5626;5626.25;106
20240912 080000;5626.5;5627.25;5626.5;5627;32
20240912 080100;5627;5627;5622.5;5622.5;143
20240912 080200;5622.25;5626;5622;5624.5;133
20240912 080300;5624.25;5624.5;5623.5;5623.5;83
20240912 080400;5623.5;5624;5622.75;5623.25;42
20240912 080500;5622.75;5625;5622.5;5624.75;79
20240912 080600;5624.5;5626;5624;5624.75;84
20240912 080700;5625;5625;5623.5;5623.75;29
20240912 080800;5624;5625;5623.5;5624.25;39
20240912 080900;5624;5625.75;5624;5624.25;50
20240912 081000;5625;5625.5;5623.75;5625.5;52
20240912 081100;5626;5626.25;5625.25;5626.25;34
20240912 081200;5625.5;5626.75;5625.5;5626.5;23
20240912 081300;5627.25;5628.5;5627.25;5627.5;18
20240912 081400;5627.25;5628.5;5627;5628.5;23
20240912 081500;5628.5;5628.5;5625.75;5627;44
20240912 081600;5627.5;5627.75;5626.5;5627;21
20240912 081700;5626.5;5626.75;5625.75;5626.25;27
20240912 081800;5627;5627.5;5626.75;5626.75;8
20240912 081900;5626.5;5627.25;5626.5;5627.25;21
20240912 082000;5627.75;5627.75;5626;5626;15
20240912 082100;5625.75;5625.75;5625;5625.5;22
20240912 082200;5625.5;5625.5;5624.75;5625.25;16
20240912 082300;5625.25;5625.75;5625.25;5625.5;3
20240912 082400;5626;5626.75;5626;5626.25;15
20240912 082500;5626;5626.5;5626;5626.5;2
20240912 082600;5627.25;5627.5;5626.5;5626.5;15
20240912 082700;5625.5;5627;5625.5;5627;28
20240912 082800;5626.5;5626.5;5625.5;5625.75;22
20240912 082900;5625.5;5626;5625.5;5626;7
20240912 083100;5625.25;5625.25;5624.5;5624.75;24
20240912 083200;5625.25;5625.25;5624.75;5624.75;7
20240912 083300;5624.25;5625;5624.25;5625;16
20240912 083400;5625.5;5628.75;5625.5;5628.5;35
20240912 083500;5628.5;5628.75;5628;5628.5;16
20240912 083600;5628.5;5629;5627.75;5628.25;23
20240912 083700;5628.75;5630;5628.75;5630;20
20240912 083800;5629.75;5629.75;5629;5629.25;8
20240912 083900;5629.5;5630;5629.25;5629.25;27
20240912 084000;5629;5630;5629;5629;22
20240912 084100;5629.25;5629.25;5628.25;5628.75;23
20240912 084200;5629.25;5630;5629.25;5630;12
20240912 084300;5630;5631.75;5630;5631;59
20240912 084400;5630.75;5632.5;5630.75;5632.5;25
20240912 084500;5632.5;5633.25;5631;5631.75;52
20240912 084600;5632;5632.25;5631;5631;14
