20241212 080100;6150.25;6152;6150.25;6152;12
20241212 080200;6152.25;6152.25;6151.75;6152.25;13
20241212 080300;6152.25;6152.25;6152;6152.25;7
20241212 080400;6152.25;6152.75;6152;6152.75;12
20241212 080500;6152.25;6152.5;6152.25;6152.25;9
20241212 080600;6152.5;6152.5;6151.5;6151.5;3
20241212 080700;6151.75;6151.75;6151.5;6151.5;5
20241212 080800;6151.75;6151.75;6151.75;6151.75;2
20241212 080900;6151.75;6152.25;6151.75;6152.25;4
20241212 081000;6151.5;6151.75;6151.5;6151.75;2
20241212 081100;6151.25;6151.25;6151.25;6151.25;3
20241212 081200;6151.5;6151.5;6151.5;6151.5;1
20241212 081300;6151.25;6151.25;6151.25;6151.25;2
20241212 081500;6151.75;6151.75;6151.75;6151.75;3
20241212 081600;6151.25;6151.25;6151.25;6151.25;2
20241212 081700;6151.5;6151.5;6151.5;6151.5;1
20241212 081800;6151;6151.5;6151;6151.5;2
20241212 082000;6151.5;6151.5;6151.5;6151.5;3
20241212 082100;6151.5;6151.5;6151.5;6151.5;1
20241212 082200;6151.75;6151.75;6151.25;6151.5;7
20241212 082300;6151.25;6151.25;6151.25;6151.25;1
20241212 082400;6151.75;6152;6151.75;6152;25
20241212 082500;6151.5;6151.5;6151.5;6151.5;1
20241212 082600;6151;6151;6151;6151;1
20241212 082800;6151;6151;6150.5;6150.5;11
20241212 082900;6150.5;6150.5;6150.5;6150.5;2
20241212 083000;6150.75;6151.5;6150.75;6151.5;20
20241212 083100;6152.75;6153;6151;6151.25;8
20241212 083200;6151;6151;6150.25;6150.25;14
20241212 083300;6150.25;6150.75;6150.25;6150.75;5
20241212 083400;6150.5;6150.5;6150.5;6150.5;3
20241212 083700;6150.25;6150.25;6150.25;6150.25;1
20241212 083800;6150;6150;6150;6150;1
20241212 084000;6150;6150;6149.75;6149.75;19
20241212 084100;6149.75;6149.75;6149.25;6149.25;10
20241212 084200;6149;6149.5;6148.75;6149.5;19
20241212 084300;6149.5;6150;6149.5;6150;25
20241212 084400;6150;6150;6150;6150;17
20241212 084600;6150;6150;6150;6150;6
20241212 084700;6150;6150.25;6149.75;6150.25;4
20241212 084800;6150.5;6150.5;6150.5;6150.5;5
20241212 084900;6150.25;6150.5;6150.25;6150.25;3
20241212 085100;6150;6150;6150;6150;4
20241212 085200;6150.25;6150.25;6150.25;6150.25;1
20241212 085300;6150.5;6150.5;6150.5;6150.5;1
20241212 085400;6150.25;6150.25;6150.25;6150.25;4
20241212 085700;6150;6150;6149.75;6149.75;6
20241212 085900;6150.25;6150.5;6150.25;6150.5;2
20241212 090000;6150.25;6150.25;6150.25;6150.25;2
20241212 090300;6151.5;6151.5;6151.25;6151.25;2
20241212 090400;6151;6151;6150.25;6150.25;19
20241212 090500;6150.5;6151;6150.5;6151;9
20241212 090600;6150.75;6151;6150.75;6151;2
20241212 090800;6151.25;6151.25;6150.75;6150.75;3
20241212 091000;6150.25;6150.25;6150.25;6150.25;1
20241212 091100;6149.75;6149.75;6149.75;6149.75;1
20241212 091200;6149.5;6149.5;6149.5;6149.5;1
20241212 091300;6150.5;6150.5;6150.5;6150.5;1
20241212 091600;6150.5;6150.5;6150.5;6150.5;1
20241212 091700;6150;6150;6150;6150;1
20241212 091900;6150.75;6150.75;6150.5;6150.5;2
20241212 092000;6150.5;6150.5;6150.5;6150.5;1
