20260312;6819;6820.5;6721;6727.25;49071
20260313;6733;6787.5;6674.25;6685.75;95320
20260316;6661.25;6784.75;6658;6755.5;1134653
20260317;6750.25;6808.5;6715.75;6773.25;1223217
20260318;6774.75;6813.75;6654.5;6677;1748826
20260319;6671.25;6695;6611.5;6660;2152950
20260320;6672.5;6685.75;6523.75;6559;1884518
20260323;6520.25;6748;6482.75;6634.75;2092721
20260324;6633.25;6679.25;6573.5;6606;1878844
20260325;6647.25;6684.75;6616.5;6640.75;1452946
20260326;6641;6647;6517;6525;1499997
20260327;6540;6568.5;6389;6412.25;1327409
20260330;6379.75;6482;6359.5;6388.25;1465639
20260331;6384.5;6583;6352;6570.75;1699998
20260401;6563;6654.75;6560.75;6617.75;1316050
20260402;6616.75;6644.5;6503.5;6622.25;1583523
20260403;6623.75;6638;6598.25;6603.75;104853
20260406;6590.25;6662.5;6566.75;6651;1270553
20260407;6650.75;6673.75;6572.75;6656.75;1872751
20260408;6677.25;6847.25;6675;6823.75;1562687
20260409;6815.25;6876;6792.5;6863.25;1360183
20260410;6860;6890;6846.25;6855.25;1161592
20260413;6793.5;6929.25;6767.25;6922.75;1296577
20260414;6925.25;7008.25;6920.25;7004.75;990718
20260415;7003.75;7064.5;6992;7060.5;1096925
20260416;7057.75;7089;7046.25;7077;1197151
20260417;7077.75;7185.75;7075.25;7161.5;1326747
20260420;7103.25;7160.5;7085.25;7148;1167273
20260421;7152;7183;7085;7100;1599321
20260422;7126.25;7173;7122.5;7171.25;1053957
20260423;7163.5;7181.5;7079.75;7143.5;1810922
20260424;7140;7200.5;7135.25;7194.75;1198622
20260427;7185;7211.5;7171.25;7206;908498
20260428;7205.75;7223;7146.25;7171;1218163
20260429;7172.5;7191;7131.25;7168;1093304
20260430;7147.25;7253.25;7133.75;7243.75;1401918
20260501;7254.75;7300.75;7240.75;7258;1095942
20260504;7275.25;7279.5;7199.25;7230.25;1403966
20260505;7228;7304.25;7223.5;7287.25;793261
20260506;7303;7395.75;7293.5;7389.5;1157319
20260507;7381.5;7410.75;7345.5;7363;1449756
20260508;7340.25;7428.25;7337;7419;1007871
20260511;7403.75;7454;7390.5;7436.75;999895
20260512;7435.25;7443.75;7363.25;7426.5;1407216
20260513;7420.5;7483.75;7399;7469.5;1084525
20260514;7477.25;7540;7471;7525.5;1148068
20260515;7522.5;7528.25;7409.5;7432.25;1612253
20260518;7410.25;7454.25;7372.75;7425.75;1904584
20260519;7423;7440.75;7353.75;7378;1638003
20260520;7377.75;7458;7356;7451.75;1470962
20260521;7433.25;7486.75;7407.5;7466;1625141
20260522;7467.5;7524;7466.5;7491;1150830
20260525;7518.5;7570;7516.75;7564.5;264366
20260526;7563.25;7566;7517;7537;974076
20260527;7534;7570.5;7514.75;7540;1140841
20260528;7554.75;7590.75;7505.75;7581.75;1025444
20260529;7588;7611.75;7572.75;7595.75;1188979
20260601;7594.75;7632.75;7576;7613.25;1167149
20260602;7610.75;7632;7576.25;7623.75;849597
20260603;7628.25;7628.5;7541.75;7571.75;1136216
20260604;7541.5;7611.5;7524.5;7601;1069726
20260605;7589.5;7591.5;7359;7400.5;2013133
20260608;7368.25;7476.75;7355.5;7416;1697619
20260609;7412.25;7491;7247;7392.75;2288247
20260610;7382;7404.75;7256.25;7278.5;1930542
20260611;7263;7419.75;7232.5;7396;2165076
